City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Raudeberg,34,NO,1680383681,76,61.9875,5.1352,34.47,2.46
1,Rikitea,34,PF,1680383454,81,-23.1203,-134.9692,80.19,15.95
2,Lebu,99,CL,1680383682,83,-37.6167,-73.65,61.27,9.91
3,Chui,15,UY,1680383682,61,-33.6971,-53.4616,65.53,8.39
4,Sringeri,18,IN,1680383682,94,13.4167,75.25,63.81,1.72
5,Tasiilaq,100,GL,1680383682,85,65.6145,-37.6368,30.36,3.15
6,Ancud,74,CL,1680383682,80,-41.8697,-73.8203,56.26,6.42
7,Bilibino,99,RU,1680383683,99,68.0546,166.4372,-13.79,2.19
8,Kenitra,74,MA,1680383683,85,34.261,-6.5802,57.96,1.32
9,Vila Velha,40,BR,1680383527,78,-20.3297,-40.2925,80.55,1.14
10,Batemans Bay,100,AU,1680383683,85,-35.7167,150.1833,60.1,5.7
11,Thompson,100,CA,1680383202,80,55.7435,-97.8558,17.24,6.8
12,Faanui,0,PF,1680383684,72,-16.4833,-151.75,82.22,7.27
13,Bluff,100,NZ,1680383684,74,-46.6,168.3333,55.8,15.79
14,Barillas,3,GT,1680383684,39,15.8036,-91.3158,78.33,6.08
15,Jiayuguan City,100,CN,1680383685,43,39.8167,98.3,30.78,9.24
16,Ushuaia,0,AR,1680383685,61,-54.8,-68.3,47.86,20.71
17,Port Hardy,75,CA,1680383685,87,50.6996,-127.4199,41.18,12.66
18,Coquimbo,0,CL,1680383425,68,-29.9533,-71.3436,67.73,11.5
19,Jamestown,100,US,1680383685,87,42.097,-79.2353,42.39,27.63
20,Agadir,0,MA,1680383685,55,30.4202,-9.5982,64.85,3.83
21,Urman,100,RU,1680383686,98,54.8831,56.8742,35.08,3.15
22,Erzin,100,TR,1680383686,87,36.9559,36.2,53.49,2.35
23,Busselton,2,AU,1680383686,90,-33.65,115.3333,57.52,7.49
24,Feira Nova,99,BR,1680383686,74,-7.9508,-35.3892,77.25,9.95
25,Qaanaaq,6,GL,1680383687,73,77.484,-69.3632,-11.24,3.74
26,Mizdah,6,LY,1680383687,17,31.4451,12.9801,70.02,2.42
27,Gorontalo,100,ID,1680383687,94,0.5412,123.0595,75.07,2.86
28,Albany,1,US,1680383646,30,42.6001,-73.9662,71.46,9.53
29,Port Elizabeth,2,ZA,1680383688,93,-33.918,25.5701,67.32,5.99
30,Port Alfred,37,ZA,1680383688,90,-33.5906,26.891,67.17,1.01
31,Cape Town,0,ZA,1680383082,83,-33.9258,18.4232,65.12,13.8
32,Hithadhoo,97,MV,1680383688,71,-0.6,73.0833,81.97,5.35
33,New Norfolk,100,AU,1680383194,81,-42.7826,147.0587,54.91,1.99
34,Bubaque,0,GW,1680383689,75,11.2833,-15.8333,77.67,19.69
35,Butaritari,100,KI,1680383689,76,3.0707,172.7902,81.46,12.95
36,Arraial do Cabo,40,BR,1680383199,89,-22.9661,-42.0278,80.56,16.11
37,Outjo,80,NA,1680383689,23,-20.1167,16.15,73.53,5.17
38,Avarua,75,CK,1680383690,83,-21.2078,-159.775,82.45,6.91
39,Nhulunbuy,83,AU,1680383690,88,-12.2333,136.7667,77.61,0.0
40,St. George's,75,GD,1680383504,69,12.0564,-61.7485,82.08,17.27
41,Airai,100,TL,1680383196,95,-8.9266,125.4092,59.41,2.13
42,Barra do Corda,100,BR,1680383690,93,-5.5,-45.25,76.01,4.14
43,Santa Isabel Rio Negro,100,BR,1680383690,95,-0.4139,-65.0192,76.44,1.88
44,Zliten,17,LY,1680383691,54,32.4674,14.5687,67.35,8.28
45,Necochea,94,AR,1680383691,46,-38.5473,-58.7368,64.85,8.01
46,Hobart,75,AU,1680383691,80,-42.8794,147.3294,55.26,10.36
47,Zyryanka,100,RU,1680383691,97,65.75,150.85,-3.26,15.59
48,Barrow,100,US,1680383692,92,71.2906,-156.7887,-0.38,9.22
49,Christchurch,100,NZ,1680383606,65,-43.5333,172.6333,68.32,17.27
50,Dikson,100,RU,1680383693,100,73.5069,80.5464,7.34,5.08
51,Marrakesh,0,MA,1680383694,46,31.6315,-8.0083,75.27,13.8
52,Srednekolymsk,100,RU,1680383694,97,67.45,153.6833,-11.34,7.14
53,Kaitangata,78,NZ,1680383694,95,-46.2817,169.8464,52.93,8.61
54,Notre-Dame-du-Lac,100,CA,1680383694,95,47.6136,-68.7964,33.87,10.18
